timestamp,rnti,cqi,ri,dl_mcs,ul_mcs,dl_brate_bps,ul_brate_bps,pusch_snr_db,pusch_rsrp_db,phr,dl_nof_ok,dl_nof_nok,dl_latency_us,ul_latency_us,prb_min,prb_max,slice_name,f1ap_id
1779804759.688,17922,8,1,15,27,103472.0,243200.0,30.8,-10.1,0,102,0,0,0,2,34,CRITICAL,0
1779804759.688,17924,13,1,21,4,398416.0,2145600.0,9.9,-38.4,0,141,1,0,0,2,48,PERFORMANCE,1
1779804759.688,17926,5,1,15,26,4981696.0,277144.0,26.0,-23.4,0,698,0,0,0,0,17,BUSINESS,2
1779804760.69,17922,8,1,15,27,107800.0,245120.0,32.4,-10.9,0,103,2,0,0,2,34,CRITICAL,0
1779804760.69,17924,13,1,21,6,556416.0,3383864.0,12.6,-36.9,0,177,0,0,0,2,48,PERFORMANCE,1
1779804760.69,17926,5,1,15,26,3737512.0,239536.0,26.5,-23.0,0,522,0,0,0,0,17,BUSINESS,2
1779804761.689,17922,9,1,17,27,145296.0,243200.0,32.6,-10.9,0,102,1,0,0,2,31,CRITICAL,0
1779804761.689,17924,13,1,22,9,732816.0,4707616.0,15.3,-34.4,0,205,1,0,0,2,50,PERFORMANCE,1
1779804761.689,17926,5,1,15,26,2570688.0,191600.0,26.9,-22.2,0,368,0,0,0,0,18,BUSINESS,2
1779804762.69,17922,9,1,17,27,146160.0,243200.0,33.1,-10.8,0,102,2,0,0,2,31,CRITICAL,0
1779804762.69,17924,14,1,23,8,664712.0,4106688.0,15.0,-34.5,0,191,0,0,0,2,50,PERFORMANCE,1
1779804762.69,17926,5,1,15,27,573144.0,156264.0,27.6,-21.3,0,91,0,0,0,0,18,BUSINESS,2
1779804763.69,17922,9,1,16,27,141912.0,243200.0,33.1,-10.9,0,103,1,0,0,2,31,CRITICAL,0
1779804763.69,17924,13,1,22,7,580096.0,3591304.0,14.1,-35.3,0,179,2,0,0,2,50,PERFORMANCE,1
1779804763.69,17926,5,1,15,27,2563888.0,332184.0,27.7,-21.3,0,377,0,0,0,0,18,BUSINESS,2
1779804764.689,17922,9,1,16,27,145848.0,243200.0,32.4,-10.7,0,103,1,0,0,2,31,CRITICAL,0
1779804764.689,17924,13,1,22,8,700624.0,4358432.0,14.9,-34.5,0,202,0,0,0,2,50,PERFORMANCE,1
1779804764.689,17926,5,1,15,27,6761288.0,426288.0,28.3,-20.6,0,940,0,0,0,0,18,BUSINESS,2
1779804765.689,17922,9,1,17,27,145176.0,243200.0,32.4,-10.9,0,103,1,0,0,2,34,CRITICAL,0
1779804765.689,17924,13,1,22,9,718240.0,4537704.0,15.0,-34.5,0,207,0,0,0,2,48,PERFORMANCE,1
1779804765.689,17926,5,1,15,27,4392328.0,213248.0,28.6,-20.8,0,612,0,0,0,0,17,BUSINESS,2
1779804766.689,17922,9,1,16,27,143576.0,243200.0,32.4,-11.0,0,104,3,0,0,2,34,CRITICAL,0
1779804766.689,17924,13,1,22,6,546696.0,3294968.0,13.7,-35.3,0,170,8,0,0,2,48,PERFORMANCE,1
1779804766.689,17926,5,1,15,27,3606784.0,291512.0,29.0,-19.8,0,504,0,0,0,0,17,BUSINESS,2
1779804767.689,17922,9,1,16,27,138424.0,243200.0,30.5,-11.8,0,103,0,0,0,2,34,CRITICAL,0
1779804767.689,17924,13,1,21,7,527184.0,3251856.0,13.8,-35.5,0,167,2,0,0,2,48,PERFORMANCE,1
1779804767.689,17926,5,1,15,27,4185264.0,216192.0,28.8,-19.9,0,587,0,0,0,0,17,BUSINESS,2
1779804768.689,17922,9,1,16,27,144624.0,243200.0,30.7,-12.3,0,104,0,0,0,2,34,CRITICAL,0
1779804768.689,17924,13,1,21,4,419848.0,2485088.0,11.9,-37.5,0,137,2,0,0,2,48,PERFORMANCE,1
1779804768.689,17926,5,1,15,24,577144.0,55072.0,24.5,-25.7,0,85,0,0,0,0,17,BUSINESS,2
1779804769.688,17922,9,1,17,27,149480.0,243200.0,30.4,-12.1,0,103,0,0,0,2,34,CRITICAL,0
1779804769.688,17924,13,1,20,4,439344.0,2515928.0,11.9,-37.4,0,151,0,0,0,2,48,PERFORMANCE,1
1779804769.688,17926,5,1,14,18,4028784.0,216616.0,21.4,-27.8,0,581,2,0,0,0,17,BUSINESS,2
1779804770.689,17922,9,1,17,27,150208.0,243200.0,31.0,-11.9,0,104,0,0,0,2,34,CRITICAL,0
1779804770.689,17924,13,1,21,7,579368.0,3557976.0,13.7,-35.5,0,182,0,0,0,2,48,PERFORMANCE,1
1779804770.689,17926,5,1,15,20,6815656.0,363288.0,22.0,-26.9,0,948,0,0,0,0,17,BUSINESS,2
1779804771.689,17922,9,1,17,27,137296.0,243200.0,29.8,-12.5,0,102,0,0,0,2,34,CRITICAL,0
1779804771.689,17924,13,1,22,8,675992.0,4275016.0,14.9,-34.6,0,197,3,0,0,2,48,PERFORMANCE,1
1779804771.689,17926,5,1,15,19,4037584.0,152360.0,20.6,-28.5,0,566,0,0,0,0,17,BUSINESS,2
1779804772.689,17922,9,1,16,27,126192.0,243200.0,30.3,-12.5,0,100,0,0,0,2,34,CRITICAL,0
1779804772.689,17924,12,1,20,9,500960.0,3406496.0,15.5,-34.2,0,161,2,0,0,2,48,PERFORMANCE,1
1779804772.689,17926,5,1,15,15,599248.0,55216.0,19.0,-30.3,0,90,0,0,0,0,17,BUSINESS,2
1779804773.689,17922,9,1,17,27,129280.0,243200.0,31.7,-12.0,0,102,1,0,0,2,34,CRITICAL,0
