timestamp,rnti,cqi,ri,dl_mcs,ul_mcs,dl_brate_bps,ul_brate_bps,pusch_snr_db,pusch_rsrp_db,phr,dl_nof_ok,dl_nof_nok,dl_latency_us,ul_latency_us,prb_min,prb_max,slice_name,f1ap_id
1779809692.55,17922,13,1,26,26,183848.0,233344.0,25.9,-22.1,0,101,0,0,0,4,42,CRITICAL,0
1779809692.55,17924,13,1,27,27,559256.0,3928448.0,33.3,-13.2,0,193,0,0,0,4,42,PERFORMANCE,1
1779809692.55,17926,5,1,0,0,0.0,0.0,0,-99.9,0,0,0,0,0,0,14,BUSINESS,2
1779809693.548,17922,13,1,27,26,186400.0,225280.0,25.3,-22.4,0,100,0,0,0,4,42,CRITICAL,0
1779809693.548,17924,13,1,27,27,512592.0,3668480.0,32.4,-12.7,0,173,0,0,0,4,42,PERFORMANCE,1
1779809693.548,17926,5,1,0,27,0.0,4864.0,32.4,-15.2,0,0,0,0,0,0,14,BUSINESS,2
1779809694.548,17922,13,1,27,25,186400.0,233088.0,25.2,-22.6,0,100,0,0,0,4,42,CRITICAL,0
1779809694.548,17924,13,1,27,27,558408.0,3903104.0,32.5,-12.6,0,190,0,0,0,4,42,PERFORMANCE,1
1779809694.548,17926,5,1,0,0,0.0,0.0,0,-99.9,0,0,0,0,0,0,14,BUSINESS,2
1779809695.55,17922,13,1,27,25,186400.0,222720.0,24.9,-22.7,0,100,0,0,0,4,42,CRITICAL,0
1779809695.55,17924,13,1,26,27,527048.0,3861376.0,32.4,-13.0,0,181,2,0,0,4,42,PERFORMANCE,1
1779809695.55,17926,5,1,0,27,0.0,4864.0,31.0,-14.6,0,0,0,0,0,0,14,BUSINESS,2
1779809696.549,17922,13,1,26,26,182560.0,233856.0,25.4,-22.5,0,100,1,0,0,4,42,CRITICAL,0
1779809696.549,17924,13,1,26,27,540344.0,3919488.0,33.0,-12.8,0,184,0,0,0,4,42,PERFORMANCE,1
1779809696.549,17926,5,1,0,0,0.0,0.0,0,-99.9,0,0,0,0,0,0,14,BUSINESS,2
1779809697.549,17922,13,1,26,26,185264.0,231296.0,25.7,-22.5,0,102,1,0,0,4,42,CRITICAL,0
1779809697.549,17924,13,1,26,27,557728.0,3982464.0,34.0,-12.3,0,190,1,0,0,4,42,PERFORMANCE,1
1779809697.549,17926,5,1,0,27,0.0,4864.0,31.7,-15.1,0,0,0,0,0,0,14,BUSINESS,2
