timestamp,rnti,cqi,ri,dl_mcs,ul_mcs,dl_brate_bps,ul_brate_bps,pusch_snr_db,pusch_rsrp_db,phr,dl_nof_ok,dl_nof_nok,dl_latency_us,ul_latency_us,prb_min,prb_max,slice_name,f1ap_id,du_type,imsi,time_s,dl_mbps,ul_mbps
1780302416.371,17921,14,1,26,27,519656.0,4458488.0,30.4,-19.3,0,138,1,0,0,2.0,50.0,CRITICAL,0.0,RF,001010000000005,0.0,0.5197,4.4585
1780302416.371,17922,9,1,16,27,133304.0,243200.0,29.0,-11.9,0,110,0,0,0,2.0,32.0,PERFORMANCE,1.0,RF,001010000000004,0.0,0.1333,0.2432
1780302416.371,17924,5,1,15,25,5436736.0,367400.0,28.3,-18.0,0,760,0,0,0,0.0,17.0,BUSINESS,2.0,RF,001010000000003,0.0,5.4367,0.3674
1780302416.371,61441,15,1,28,4,131088.0,1369376.0,2.9,-0.0,0,95,0,0,0,2.0,34.0,CRITICAL,0.0,ZMQ,001010000000006,0.0,0.1311,1.3694
1780302416.371,61442,15,1,27,2,9464.0,22392.0,3.1,-0.0,0,7,0,0,0,2.0,34.0,PERFORMANCE,1.0,ZMQ,001010000000007,0.0,0.0095,0.0224
1780302416.371,61443,15,1,28,5,282192.0,273856.0,4.1,0.0,0,206,0,0,0,0.0,30.0,BUSINESS,2.0,ZMQ,001010000000008,0.0,0.2822,0.2739
1780302417.372,17921,15,1,26,27,528440.0,4514184.0,30.1,-20.1,0,136,3,0,0,2.0,50.0,CRITICAL,0.0,RF,001010000000005,1.001,0.5284,4.5142
1780302417.372,17922,9,1,15,27,137776.0,243200.0,29.8,-11.5,0,114,0,0,0,2.0,32.0,PERFORMANCE,1.0,RF,001010000000004,1.001,0.1378,0.2432
1780302417.372,17924,5,1,15,27,5897048.0,284928.0,28.5,-21.9,0,829,0,0,0,0.0,17.0,BUSINESS,2.0,RF,001010000000003,1.001,5.897,0.2849
1780302417.372,61441,15,1,28,4,138816.0,1342248.0,3.0,-0.0,0,101,0,0,0,2.0,34.0,CRITICAL,0.0,ZMQ,001010000000006,1.001,0.1388,1.3422
1780302417.372,61442,15,1,27,3,7048.0,16584.0,2.9,0.0,0,5,0,0,0,2.0,34.0,PERFORMANCE,1.0,ZMQ,001010000000007,1.001,0.007,0.0166
1780302417.372,61443,15,1,28,5,278128.0,259408.00000000003,4.2,0.0,0,206,0,0,0,0.0,30.0,BUSINESS,2.0,ZMQ,001010000000008,1.001,0.2781,0.2594
1780302418.375,17921,15,1,26,27,515136.0,4408216.0,30.1,-19.9,0,133,2,0,0,2.0,50.0,CRITICAL,0.0,RF,001010000000005,2.004,0.5151,4.4082
1780302418.375,17922,9,1,16,27,143160.0,243200.0,30.2,-11.5,0,113,0,0,0,2.0,32.0,PERFORMANCE,1.0,RF,001010000000004,2.004,0.1432,0.2432
1780302418.375,17924,5,1,15,27,5298584.0,396480.0,29.4,-18.5,0,744,0,0,0,0.0,17.0,BUSINESS,2.0,RF,001010000000003,2.004,5.2986,0.3965
1780302418.375,61441,15,1,28,4,134624.0,1325504.0,2.9,-0.0,0,97,0,0,0,2.0,34.0,CRITICAL,0.0,ZMQ,001010000000006,2.004,0.1346,1.3255
1780302418.375,61442,13,1,27,3,8400.0,21656.0,3.3,0.0,0,6,0,0,0,2.0,34.0,PERFORMANCE,1.0,ZMQ,001010000000007,2.004,0.0084,0.0217
